Nodes,Percentagem,Edges,Perc_k,k,Result,Basic_Operations,Time,Memory
15,50,52,75,11,False,688184,5.0000691413879395,3.00390625
15,75,79,12.5,1,True,1,3.314018249511719e-05,0.0
15,75,79,25,3,True,3,3.910064697265625e-05,0.0
15,75,79,50,7,False,778995,5.000141620635986,5.37890625
15,75,79,75,11,False,642920,5.000080823898315,27.87109375
16,12.5,15,12.5,2,True,21,8.797645568847656e-05,0.0
16,12.5,15,25,4,False,1475265,5.000156879425049,4.0703125
16,12.5,15,50,8,False,960018,5.000088930130005,3.234375
16,12.5,15,75,12,False,765740,5.0000739097595215,1.87109375
16,25,30,12.5,2,True,2,4.100799560546875e-05,0.0
16,25,30,25,4,True,415,0.0016279220581054688,0.0
16,25,30,50,8,False,887575,5.000072002410889,15.9375
16,25,30,75,12,False,713301,5.000128984451294,9.453125
16,50,60,12.5,2,True,6,6.198883056640625e-05,0.0
16,50,60,25,4,True,205,0.0009679794311523438,0.0
16,50,60,50,8,False,784909,5.000121831893921,5.953125
16,50,60,75,12,False,645501,5.000132083892822,13.890625
16,75,90,12.5,2,True,1,3.981590270996094e-05,0.0
16,75,90,25,4,True,31,0.00018095970153808594,0.0
16,75,90,50,8,False,702398,5.000068664550781,18.34765625
16,75,90,75,12,False,591570,5.000094890594482,1.80078125
17,12.5,17,12.5,2,True,3,4.076957702636719e-05,0.0
17,12.5,17,25,4,False,1436937,5.000186204910278,12.921875
17,12.5,17,50,8,False,959932,5.000152826309204,5.37890625
17,12.5,17,75,12,False,760652,5.000164747238159,5.37109375
17,25,34,12.5,2,True,2,4.363059997558594e-05,0.0
17,25,34,25,4,True,4161,0.016525983810424805,0.0
17,25,34,50,8,False,877069,5.000159978866577,1.9375
17,25,34,75,12,False,704019,5.000097036361694,12.54296875
17,50,68,12.5,2,True,1,3.504753112792969e-05,0.0
17,50,68,25,4,True,252,0.0012238025665283203,0.0
17,50,68,50,8,False,769310,5.000159025192261,14.32421875
17,50,68,75,12,False,637195,5.000159978866577,3.03125
17,75,102,12.5,2,True,2,4.8160552978515625e-05,0.0
17,75,102,25,4,True,193,0.0011098384857177734,2.13671875
17,75,102,50,8,False,694517,5.0002031326293945,15.7421875
17,75,102,75,12,False,582576,5.000173091888428,5.56640625
18,12.5,19,12.5,2,True,1,4.887580871582031e-05,0.0
18,12.5,19,25,4,False,1337047,5.000133991241455,1.91796875
18,12.5,19,50,9,False,862203,5.000218868255615,0.1484375
18,12.5,19,75,13,False,696443,5.000071048736572,0.203125
18,25,38,12.5,2,True,2,3.3855438232421875e-05,0.0
18,25,38,25,4,False,1216485,5.000119924545288,0.48046875
18,25,38,50,9,False,813724,5.0000739097595215,0.00390625
18,25,38,75,13,False,667274,5.000183820724487,0.3046875
18,50,76,12.5,2,True,3,6.699562072753906e-05,0.0
18,50,76,25,4,True,75,0.0004038810729980469,0.0
18,50,76,50,9,False,709142,5.000038146972656,0.12109375
18,50,76,75,13,False,592680,5.000190019607544,0.54296875
18,75,115,12.5,2,True,2,8.511543273925781e-05,0.0
18,75,115,25,4,True,18,0.00013208389282226562,0.0
18,75,115,50,9,False,594241,5.000159978866577,2.4375
18,75,115,75,13,False,511718,5.000215768814087,2.16015625
19,12.5,21,12.5,2,True,47,0.00019884109497070312,0.0
19,12.5,21,25,4,False,1315014,5.000041961669922,0.0
19,12.5,21,50,9,False,854839,5.000161647796631,18.5
19,12.5,21,75,14,False,664173,5.0001771450042725,0.3046875
19,25,43,12.5,2,True,3,4.673004150390625e-05,0.0
19,25,43,25,4,False,1167958,5.000122785568237,10.57421875
19,25,43,50,9,False,793353,5.000072956085205,2.234375
19,25,43,75,14,False,626416,5.000190019607544,0.484375
19,50,86,12.5,2,True,1,5.412101745605469e-05,0.0
19,50,86,25,4,True,24,0.000171661376953125,0.0
19,50,86,50,9,False,701173,5.000040769577026,0.20703125
19,50,86,75,14,False,566791,5.000182151794434,0.0390625
19,75,128,12.5,2,True,1,6.198883056640625e-05,0.0
19,75,128,25,4,True,1,3.0994415283203125e-05,0.0
19,75,128,50,9,False,575380,5.000040054321289,0.05859375
19,75,128,75,14,False,482017,5.000064134597778,0.03515625
20,12.5,24,12.5,2,True,5,4.8160552978515625e-05,0.0
20,12.5,24,25,5,False,1198262,5.00002908706665,0.0078125
20,12.5,24,50,10,False,806447,5.000148296356201,1.54296875
20,12.5,24,75,15,False,632334,5.000131845474243,4.49609375
20,25,48,12.5,2,True,7,7.915496826171875e-05,0.0
20,25,48,25,5,False,1066014,5.000148057937622,12.48046875
20,25,48,50,10,False,746030,5.000155925750732,4.1015625
20,25,48,75,15,False,596768,5.000058889389038,2.25
20,50,95,12.5,2,True,2,5.817413330078125e-05,0.0
20,50,95,25,5,True,10186,0.06318902969360352,0.0
20,50,95,50,10,False,605221,5.0001630783081055,2.109375
20,50,95,75,15,False,502717,5.000152111053467,13.9140625
20,75,142,12.5,2,True,2,5.0067901611328125e-05,0.0
20,75,142,25,5,True,695,0.005072116851806641,0.0
20,75,142,50,10,False,537147,5.000148057937622,8.17578125
20,75,142,75,15,False,455162,5.000065088272095,3.515625
21,12.5,26,12.5,2,True,10,6.890296936035156e-05,0.0
21,12.5,26,25,5,False,1186973,5.0001540184021,0.03515625
21,12.5,26,50,10,False,795942,5.000060081481934,1.00390625
21,12.5,26,75,15,False,623256,5.000159978866577,0.34375
21,25,52,12.5,2,True,2,4.1961669921875e-05,0.0
21,25,52,25,5,False,1061485,5.000156879425049,3.21875
21,25,52,50,10,False,739557,5.000169992446899,7.2890625
21,25,52,75,15,False,590331,5.0001771450042725,10.5
21,50,105,12.5,2,True,2,5.1975250244140625e-05,0.140625
21,50,105,25,5,True,8821,0.05544710159301758,0.65625
21,50,105,50,10,False,591767,5.000170946121216,8.41796875
21,50,105,75,15,False,491675,5.000196933746338,5.20703125
21,75,158,12.5,2,True,3,6.031990051269531e-05,0.0
21,75,158,25,5,True,228,0.0017681121826171875,0.0
21,75,158,50,10,False,515477,5.000159978866577,13.02734375
21,75,158,75,15,False,439930,5.0000998973846436,1.06640625
22,12.5,29,12.5,2,True,3,3.910064697265625e-05,0.0
22,12.5,29,25,5,False,1171919,5.000162124633789,0.26953125
